ID_CLIENTE;Cliente;Ragione_Sociale;Indirizzo;Citta;CAP;Provincia;P_IVA;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
CLI0001;ALBINI;ALBINI;;;;;;;;;
CLI0002;AMGA;AMGA;;;;;;;;;
CLI0003;CALVI;CALVI;;;;;;;;;
CLI0004;FORGITAL;FORGITAL;;;;;;;;;
CLI0005;IK;IK;;;;;;;;;
CLI0006;"ITALPIZZA - MANTUA";MANTUA;;;;;;;;;
CLI0007;"ITALPIZZA - MODENA";ITALPIZZA;;;;;;;;;
CLI0008;IWT;IWT;;;;;;;;;
CLI0009;LACTALIS;LACTALIS;;;;;;;;;
CLI0010;"LACTALIS AMBROSI";LACTALIS;;;;;;;;;
CLI0011;"LACTALIS GALBANI";GALBANI;;;;;;;;;
CLI0012;"LACTALIS STAB CORTEOLONA NUOVA CASTELLI";LACTALIS;;;;;;;;;
CLI0013;LAVAZZA;LAVAZZA;;;;;;;;;
CLI0014;LINDT;LINDT;;;;;;;;;
CLI0015;"MAXION WHEELS";"MAXION WHEELS";;;;;;;;;
CLI0016;PERFETTI;PERFETTI;;;;;;;;;
CLI0017;SAMMONTANA;SAMMONTANA;;;;;;;;;
CLI0018;VIMAR;VIMAR;;;;;;;;;
CLI0019;"Vaglio & Partners";"Vaglio & Partners";;;;;;;;;
CLI0020;"FONDAZIONE ABITIAMO";"FONDAZIONE ABITIAMO";;;;;;"2025-09-19 07:42:53";;"2025-09-19 07:42:53";
CLI0021;LUCCHINI;LUCCHINI;;;;;;"2026-03-20 15:58:01";CONS008;"2026-03-20 15:58:29";CONS008
