ID_FATTURA;Data;ID_CLIENTE;TIPO;NR;ID_COMMESSA;Fatturato_gg;Fatturato_Spese;Fatturato_TOT;Note;Riferimento_Ordine;Data_Ordine;Tempi_Pagamento;Scadenza_Pagamento;Data_Pagamento;Valore_Pagato;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
FATT000001;31/01/25;CLI0006;Fattura;25_001;COM0003;1550;250;1800;"Attivit� di supporto consulenziale c/o il Vostro 
stabilimento di Mantova. ";;;30;02/03/25;;;;;;
FATT000002;23/12/24;CLI0006;Fattura;24_001;COM0003;1838;;1838;"Attivit� di supporto consulenziale c/o il Vostro 
stabilimento di Mantova. ";;;30;22/01/25;20/02/25;;;;;
FATT000003;23/12/24;CLI0005;Fattura;24_002;COM0002;725;;725;;;;;23/12/24;27/02/25;;;;;
FATT000004;23/12/24;CLI0007;Fattura;24_003;COM0004;1730;;1730;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena. ";;;30;22/01/25;31/01/25;;;;;
FATT000005;23/12/24;CLI0003;Fattura;24_004;COM0001;3987,5;;3987,5;"Attivit� di consulenza svolta da Alessandro Vaglio come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Giorgio Bevilacqua come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Stefano Colombo come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Coordinamento (10% attivit� svolta)";;;;23/12/24;24/01/25;;;;;
FATT000006;31/12/24;CLI0016;Fattura;24_005;COM0005;5425;;5425;;;;;31/12/24;;;;;;
FATT000007;31/01/25;CLI0007;Fattura;25_002;COM0004;1550;250;1800;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena. ";;;30;02/03/25;;;;;;
FATT000008;31/01/25;CLI0005;Fattura;25_004;COM0002;725;90;815;"Attivit� di consulenza svolta da Giorgio Troni come da nostra 
offerta del 26/07/24. ";;;;31/01/25;;;;;;
FATT000009;31/01/25;CLI0003;Fattura;25_003;COM0001;5637;;5637;"Attivit� di consulenza svolta da Alessandro Vaglio come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Giorgio Bevilacqua come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Stefano Colombo come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Coordinamento (10% attivit� svolta)";n. 7130017952;27/09/24;;31/01/25;;;;;;
FATT000010;28/02/25;CLI0007;Fattura;25_005;COM0004;775;90;865;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena.";;;30;30/03/25;;;;;;
