ID_CLIENTE;Cliente;Ragione_Sociale;Indirizzo;Citta;CAP;Provincia;P_IVA;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
CLI0001;ALBINI;ALBINI;;;;;;;;;
CLI0002;AMGA;AMGA;;;;;;;;;
CLI0003;CALVI;CALVI;;;;;;;;;
CLI0004;FORGITAL;FORGITAL;;;;;;;;;
CLI0005;IK;IK;;;;;;;;;
CLI0006;"ITALPIZZA - MANTUA";MANTUA;;;;;;;;;
CLI0007;"ITALPIZZA - MODENA";ITALPIZZA;;;;;;;;;
CLI0008;IWT;IWT;;;;;;;;;
CLI0009;LACTALIS;LACTALIS;;;;;;;;;
CLI0010;"LACTALIS AMBROSI";LACTALIS;;;;;;;;"2025-08-28 08:02:51";
CLI0011;"LACTALIS GALBANI";GALBANI;;;;;;;;;
CLI0012;"LACTALIS STAB CORTEOLONA NUOVA CASTELLI";LACTALIS;;;;;;;;"2025-08-28 07:50:29";
CLI0013;LAVAZZA;LAVAZZA;;;;;;;;;
CLI0014;LINDT;LINDT;;;;;;;;;
CLI0015;"MAXION WHEELS";"MAXION WHEELS";;;;;;;;;
CLI0016;PERFETTI;PERFETTI;;;;;;;;;
CLI0017;SAMMONTANA;SAMMONTANA;;;;;;;;;
CLI0018;VIMAR;VIMAR;;;;;;;;;
CLI0019;"Vaglio & Partners";"Vaglio & Partners";;;;;;;;;
