ID_TARIFFA;ID_COLLABORATORE;ID_COMMESSA;Tariffa_gg;Spese_comprese;Dal;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
TAR00001;CONS001;;1100,00;No;2024-12-01;;;;
TAR00002;CONS002;COM0001;850,00;No;2024-12-01;;;"2025-09-07 11:24:00";SYSTEM
TAR00003;CONS003;;1000,00;No;2024-12-01;;;"2025-09-07 11:39:00";SYSTEM
TAR00004;CONS004;COM0007;1050,00;Si;2025-02-01;;;;
TAR00005;CONS004;;900,00;No;2024-12-01;;;"2025-08-26 17:49:37";
TAR00006;CONS006;;0,00;Si;2024-12-01;;;;
TAR00007;CONS005;;800,00;No;2025-08-01;"2025-08-26 17:53:13";;"2025-09-07 11:15:05";SYSTEM
TAR00008;CONS002;;800,00;Si;2024-12-01;"2025-09-07 11:24:37";SYSTEM;"2025-09-07 11:27:56";SYSTEM
TAR00009;CONS007;COM0015;1000,00;No;2025-09-01;"2025-09-07 11:30:57";SYSTEM;"2025-09-07 11:30:57";
TAR00010;CONS007;;500,00;Si;2025-09-01;"2025-09-07 11:31:40";SYSTEM;"2025-09-07 11:32:54";SYSTEM
