ID_FATTURA;Data;ID_CLIENTE;TIPO;NR;ID_COMMESSA;Fatturato_gg;Fatturato_Spese;Fatturato_TOT;Note;Riferimento_Ordine;Data_Ordine;Tempi_Pagamento;Scadenza_Pagamento;Data_Pagamento;Valore_Pagato;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
FAT25001;2025-08-30;CLI0006;Fattura;33/25;COM0003;1550,00;297,00;1847,00;"Attività di supporto consulenziale c/o il Vostro 
stabilimento di Mantova. 
Viaggio a/r 
Spese";;;30;2025-09-29;;0,00;;SYSTEM;;
FATT000001;2025-01-31;CLI0006;Fattura;01/25;COM0003;1550,00;250,00;1800,00;"Attivit� di supporto consulenziale c/o il Vostro 
stabilimento di Mantova.";;;30;2025-03-02;2025-03-12;1800,00;;;;
FATT000002;2024-12-23;CLI0006;Fattura;01/24;COM0003;1838,00;0,00;1838,00;"Attivit� di supporto consulenziale c/o il Vostro 
stabilimento di Mantova.";;;30;2025-01-22;2025-02-20;1838,00;;;;SYSTEM
FATT000003;2024-12-23;CLI0005;Fattura;02/24;COM0002;725,00;;725,00;;;;;2024-12-23;2025-02-27;725,00;;;;
FATT000004;2024-12-23;CLI0007;Fattura;03/24;COM0004;1730,00;;1730,00;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena.";;;30;2025-01-22;2025-01-31;1730,00;;;;
FATT000005;2024-12-23;CLI0003;Fattura;04/24;COM0001;3987,00;0,00;3987,00;"Attivit� di consulenza svolta da Alessandro Vaglio come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Giorgio Bevilacqua come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Stefano Colombo come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Coordinamento (10% attivit� svolta)";;;;2024-12-23;2025-01-24;3987,00;;;;SYSTEM
FATT000006;2024-12-31;CLI0016;Fattura;05/24;COM0005;5425,00;;5425,00;;;;;2024-12-31;2025-01-31;5425,00;;;;
FATT000007;2025-01-31;CLI0007;Fattura;02/25;COM0004;1550,00;250,00;1800,00;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena.";;;30;2025-03-02;2025-03-12;1800,00;;;;
FATT000008;2025-01-31;CLI0005;Fattura;04/25;COM0002;725,00;90,00;815,00;"Attivit� di consulenza svolta da Giorgio Troni come da nostra 
offerta del 26/07/24.";;;;2025-01-31;2025-03-11;815,00;;;;
FATT000009;2025-01-31;CLI0003;Fattura;03/25;COM0001;5637,50;;5637,50;"Attivit� di consulenza svolta da Alessandro Vaglio come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Giorgio Bevilacqua come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Stefano Colombo come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Coordinamento (10% attivit� svolta)";"n. 7130017952";2024-09-27;;2025-01-31;2025-03-04;5637,50;;;;
