ID_COMMESSA;Commessa;Desc_Commessa;Tipo_Commessa;ID_CLIENTE;Commissione;ID_COLLABORATORE;Data_Apertura_Commessa;Stato_Commessa;Documento_Offerta;Documento_Ordine;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
COM0001;"CALVI SVIL MANAGERIALITA'";"Sviluppo Manageriale";Cliente;CLI0003;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-09-09 14:41:56";
COM0002;"IK SVILUPPO";"Analisi Organizzativa e progetti";Cliente;CLI0005;0,2700;CONS001;2024-12-01;Chiusa;;;;;"2025-09-09 14:42:03";SYSTEM
COM0003;MANTUA;"Supporto Sviluppo";Cliente;CLI0006;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-09-09 14:42:17";
COM0004;ITALPIZZA;"Sviluppo Manageriale";Cliente;CLI0007;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-09-09 14:42:23";
COM0005;"PERFETTI SVILUPPO";"Sviluppo Organizzativo e Formazione";Cliente;CLI0016;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-09-09 14:42:31";
COM0006;"LAVAZZA ENG";"Supporto Sviluppo";Cliente;CLI0013;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-09-09 14:42:37";
COM0007;"LAVAZZA SETTIMO";"Supporto Sviluppo";Cliente;CLI0013;0,2700;CONS001;2025-03-01;Chiusa;;;;;"2025-09-09 14:42:43";SYSTEM
COM0008;"LAVAZZA HSE";"Supporto Sviluppo";Cliente;CLI0013;0,2700;CONS001;2025-07-01;"In corso";;;;;"2025-09-09 14:42:48";
COM0009;"LACTALIS LTF";"Formazione LTF";Cliente;CLI0009;0,2700;CONS001;2024-12-01;"In corso";;;;;"2025-09-09 14:42:53";
COM0010;"LACTALIS GALBANI COACHING (Melzo)";Coaching;Cliente;CLI0011;0,2700;CONS001;2025-01-01;"In corso";;;;;"2025-10-24 17:35:38";SYSTEM
COM0011;"LACTALIS AMBROSI COACHING";Coaching;Cliente;CLI0009;0,2700;CONS001;2025-05-01;"In corso";;;;;"2025-09-09 14:43:04";SYSTEM
COM0012;"LACTALIS NUOVA CASTELLI";"Formazione Capi";Cliente;CLI0012;0,2700;CONS001;2025-05-31;"In corso";;;;;"2025-09-09 14:43:11";
COM0013;"LACTALIS CORTEOLONA";"Formazione Capi";Cliente;CLI0012;0,2700;CONS001;2025-06-01;"In corso";;;;;"2025-09-09 14:43:16";
COM0014;"LINDT AUDIT";"AUDIT organizzativo";Cliente;CLI0014;0,2700;CONS001;2025-04-01;"In corso";;;;;"2025-11-02 11:13:43";SYSTEM
COM0015;"SAMMONTANA FRANCIA";"Assessment Man Prog. Ceres";Cliente;CLI0017;0,2700;CONS003;2025-07-01;Chiusa;;;;;"2025-09-09 13:24:34";SYSTEM
COM0016;"Attivita' di Promozione VP";promo;Interna;;0,2700;;2024-12-01;"In corso";;;;;"2025-09-09 14:43:27";SYSTEM
COM2025001;Sviluppo;;Interna;;0,2700;;2025-08-24;"In corso";;;;SYSTEM;"2025-09-09 14:43:32";SYSTEM
COM2025004;"IWT Coaching";;Cliente;CLI0008;0,2700;CONS001;2025-08-26;"In corso";;;;SYSTEM;"2025-09-09 14:43:39";
COM2025005;"Abitiamo Fondazione";;Cliente;CLI0020;0,0000;CONS001;2025-09-22;"In corso";;;"2025-09-22 10:55:19";SYSTEM;"2025-09-22 10:55:19";
COM2025006;"PERFETTI FORMAZIONE CAPITURNO";"2+2 gg di formazione in aula. 6+9 gg SFC.";Cliente;CLI0016;0,2700;CONS001;2025-10-31;"In corso";;;"2025-10-17 17:53:55";SYSTEM;"2025-10-17 17:53:55";
COM2025007;"LACTALIS NUOVA CASTELLI - FASE 2";"attività successiva al audit e workshop Prima Linea";Cliente;CLI0009;0,2700;CONS001;2025-09-01;"In corso";;;"2025-11-01 17:13:38";SYSTEM;"2025-11-01 17:13:38";
COM2025008;"LINDT WORKSHOP RUOLO CR";"Workshop con Troni per definizione ruolo";Cliente;CLI0014;0,2700;CONS001;2025-06-01;"In corso";;;"2025-11-02 11:11:04";SYSTEM;"2025-11-02 11:11:04";
COM2025009;"LINDT SVILUPPO CR";"Formazione coaching Vaglio";Cliente;CLI0014;0,2700;CONS001;2025-09-01;"In corso";;;"2025-11-02 11:11:59";SYSTEM;"2025-11-02 11:11:59";
COM2025010;"LINDT SVILUPPO CAPITURNO";"Formazione e SFC Colombo";Cliente;CLI0014;0,2700;CONS001;2025-10-01;"In corso";;;"2025-11-02 11:12:55";SYSTEM;"2025-11-02 11:12:55";
COM2025011;"LINDT SVILUPPO CR";"Formazione coaching vaglio";Cliente;CLI0014;0,2700;CONS001;2025-09-05;"In corso";;;"2025-11-02 11:27:00";SYSTEM;"2025-11-02 11:27:00";
COM2025012;"LINDT SVILUPPO CR";"VAGLIO FORMAZIONE & COACHING";Cliente;CLI0014;0,2700;CONS001;2025-09-01;"In corso";;;"2025-11-02 11:29:00";SYSTEM;"2025-11-02 11:29:00";
