ID_TASK;Task;Desc_Task;ID_COMMESSA;ID_COLLABORATORE;Tipo;Data_Apertura_Task;Stato_Task;gg_previste;Spese_Comprese;Valore_Spese_std;Valore_gg;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
TAS00001;"CALVI VAGLIO";"Consulenza Vaglio";COM0001;;Campo;2024-12-01;"In corso";;Si;;1550,00;;;;
TAS00002;"CALVI ALTRI";Formazione;COM0001;;Campo;2024-12-01;"In corso";;Si;;1450,00;;;;
TAS00003;"CALVI COORDINAMENTO";Coordinamento;COM0001;CONS001;Monitoraggio;2024-12-01;"In corso";;Si;;0,10;;;;
TAS00004;"IK VAGLIO";"Consulenza Vaglio";COM0002;;Campo;2024-12-01;Chiuso;;No;;1550,00;;;;
TAS00005;"IK TRONI";"Consulenza Troni";COM0002;;Campo;2024-12-01;Chiuso;;No;90,00;1450,00;;;;
TAS00006;"ITALPIZZA MODENA";Consulenza;COM0004;;Campo;2024-12-01;"In corso";;No;;1550,00;;;;
TAS00007;"ITALPIZZA MANTUA";Consulenza;COM0003;;Campo;2024-12-01;"In corso";;No;;1550,00;;;;
TAS00008;"AMBROSI COACHING";Coaching;COM0011;;Campo;2025-05-01;"In corso";6,25;No;;1550,00;;;"2026-02-26 19:10:21";CONS001
TAS00009;"GALBANI COACHING";Coaching;COM0010;;Campo;2025-01-01;"In corso";4,00;Si;;1550,00;;;"2026-02-27 18:56:18";CONS008
TAS00010;"LACTALIS LTF - AULA";Formazione;COM0009;;Campo;2024-12-01;"In corso";;Si;;1550,00;;;;SYSTEM
TAS00011;"LACTALIS LTF - FOLLOW UP";Coaching;COM0009;;Campo;2024-12-01;"In corso";;Si;;1550,00;;;;SYSTEM
TAS00012;"CASTELLI 1. AUDIT";"Ingaggio e Audit";COM0012;;Campo;2025-06-01;Chiuso;4,00;No;;1550,00;;;"2025-09-11 13:28:28";SYSTEM
TAS00013;"CASTELLI 2. PRIMA LINEA";"Formazione Prima Linea";COM0012;;Campo;2025-06-01;Chiuso;2,00;No;;1550,00;;;"2025-09-11 13:29:50";SYSTEM
TAS00014;"CASTELLI Aula CT";"Formazione CT";COM2025007;;Campo;2025-06-01;"In corso";1,00;No;;1550,00;;;"2025-11-06 15:20:54";CONS003
TAS00015;"CASTELLI - MONITORAGGIO";"10% dell'impegno";COM0012;CONS001;Monitoraggio;2025-06-01;Chiuso;;Si;;0,10;;;"2025-11-06 18:07:52";SYSTEM
TAS00016;"CORTEOLONA 1. AUDIT";"Ingaggio e Audit";COM0012;;Campo;2025-06-01;Chiuso;6,00;No;;1550,00;;;"2025-11-06 18:08:06";SYSTEM
TAS00017;"CORTEOLONA - MONITORAGGIO";"10% dell'impegno";COM0013;CONS001;Monitoraggio;2025-06-01;"In corso";;Si;;0,10;;;;
